role,category,source_file,match_score,text_similarity,skill_match_rate,matched_skill_count,missing_skill_count,match_category,matched_skills,missing_skills
Product Analyst,IT & Product,it_jobs.txt,15.43,1.07,25.0,1,3,Low Match,python,"a/b testing, excel, stakeholder communication"
Accounting Staff,Finance,non_it_jobs.txt,15.17,0.42,25.0,1,3,Low Match,attention to detail,"administration, data entry, excel"
IT Business Analyst,IT & Business,it_jobs.txt,15.15,0.38,25.0,1,3,Low Match,documentation,"process mapping, requirement gathering, stakeholder communication"
Human Resources Officer,Human Resources,non_it_jobs.txt,13.65,0.79,22.22,2,7,Low Match,"communication, documentation","employee relations, hr administration, interview coordination, microsoft office, onboarding, organization, training coordination"
Sales Executive,Sales,non_it_jobs.txt,12.16,0.41,20.0,1,4,Low Match,communication,"business development, negotiation, presentation, prospecting"
AI Engineer,IT & AI,it_jobs.txt,11.32,1.83,17.65,3,14,Low Match,"fastapi, machine learning, model evaluation","api, bert, cnn, computer vision, deep learning, gradio, hugging face, llm, natural language processing, nlp, qwen, rag, streamlit, yolo"
Cybersecurity Analyst,IT & Security,it_jobs.txt,10.15,0.38,16.67,1,5,Low Match,documentation,"incident response, linux, risk assessment, siem, threat analysis"
Frontend Developer,IT & Software,it_jobs.txt,8.98,1.02,14.29,1,6,Low Match,next.js,"css, git, javascript, react, tailwind css, typescript"
Public Relations Officer,Communication,non_it_jobs.txt,8.89,0.8,14.29,1,6,Low Match,communication,"content writing, creativity, event coordination, media relations, presentation, stakeholder communication"
Content Specialist,Creative & Content,non_it_jobs.txt,8.73,0.39,14.29,1,6,Low Match,communication,"analytics, copywriting, creativity, digital marketing, editing, storytelling"
Supply Chain Analyst,Supply Chain,non_it_jobs.txt,8.73,0.39,14.29,1,6,Low Match,problem solving,"excel, inventory planning, logistics, procurement, reporting, vendor management"
Data Engineer,IT & Data,it_jobs.txt,8.38,0.95,13.33,2,13,Low Match,"etl, python","airflow, analytics, bigquery, data quality, data warehouse, dbt, docker, elt, git, postgresql, reporting, snowflake, spark"
Digital Marketing Specialist,Marketing,non_it_jobs.txt,5.75,0.74,9.09,1,10,Low Match,communication,"a/b testing, analytics, campaign analysis, content marketing, copywriting, creativity, google ads, reporting, seo, social media marketing"
Database Administrator,IT & Data,it_jobs.txt,0.0,0.0,0.0,0,3,Low Match,,"data warehouse, mysql, postgresql"
