person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length,actual_loan_status,predicted_loan_status,default_probability,credit_risk_segment
28,50004,RENT,9.0,HOMEIMPROVEMENT,C,8000,15.23,0.16,Y,9,0,0,0.23635911300788445,Low Risk
23,14898,RENT,4.0,VENTURE,C,6250,15.27,0.42,N,2,1,1,0.992614970333871,High Risk
30,85000,MORTGAGE,2.0,EDUCATION,C,25000,12.84,0.29,Y,8,0,0,0.08096056761207886,Low Risk
21,23000,MORTGAGE,2.0,MEDICAL,A,7000,8.9,0.3,N,3,0,0,0.1075879925955305,Low Risk
24,55680,MORTGAGE,4.0,DEBTCONSOLIDATION,B,7875,10.65,0.14,N,3,0,0,0.08361528399258497,Low Risk
28,68496,RENT,8.0,PERSONAL,B,10000,10.99,0.15,N,5,0,0,0.07068933525400259,Low Risk
35,85000,MORTGAGE,0.0,PERSONAL,B,12000,10.0,0.14,N,5,0,0,0.04683362458633106,Low Risk
38,65000,OWN,12.0,HOMEIMPROVEMENT,B,3600,8.88,0.06,N,15,0,0,0.018137462203580812,Low Risk
30,62000,RENT,14.0,MEDICAL,B,12000,11.71,0.19,N,9,0,0,0.09045179892131293,Low Risk
25,54000,RENT,3.0,HOMEIMPROVEMENT,E,25000,16.82,0.46,N,4,1,1,0.9819601368400546,High Risk
27,36000,RENT,11.0,VENTURE,A,4500,7.49,0.13,N,5,0,0,0.02298461497624296,Low Risk
22,36000,RENT,1.0,DEBTCONSOLIDATION,C,6000,12.68,0.17,N,4,0,0,0.11406043493805137,Low Risk
23,78000,RENT,7.0,DEBTCONSOLIDATION,A,10000,5.79,0.13,N,3,0,0,0.05606956552743499,Low Risk
22,35000,RENT,6.0,MEDICAL,B,5000,10.99,0.14,N,4,0,0,0.10489240171117886,Low Risk
29,59354,MORTGAGE,5.0,MEDICAL,D,9600,13.67,0.14,Y,10,1,1,0.7029757533948323,High Risk
28,61000,MORTGAGE,12.0,PERSONAL,B,12000,9.99,0.2,N,6,0,0,0.06053374352638348,Low Risk
26,83000,MORTGAGE,1.0,PERSONAL,B,17000,10.25,0.2,N,3,0,0,0.0509095679673063,Low Risk
45,125000,MORTGAGE,14.0,PERSONAL,B,10000,10.99,0.08,N,12,0,0,0.04439288471336169,Low Risk
26,30000,MORTGAGE,10.0,VENTURE,A,6500,6.62,0.22,N,3,0,0,0.043299831176904946,Low Risk
27,36000,MORTGAGE,7.0,PERSONAL,B,6000,10.25,0.17,N,10,0,0,0.07606276984479769,Low Risk
33,24947,RENT,3.0,HOMEIMPROVEMENT,B,6625,12.69,0.27,N,9,1,1,0.5606053072954137,Medium Risk
23,73000,MORTGAGE,7.0,EDUCATION,C,7500,13.22,0.1,Y,2,0,0,0.06944323729072142,Low Risk
36,150000,MORTGAGE,20.0,DEBTCONSOLIDATION,A,10000,10.99,0.07,N,16,0,0,0.045976099118978896,Low Risk
30,42000,RENT,0.0,VENTURE,B,2250,8.88,0.05,N,8,0,0,0.044880474854125184,Low Risk
31,14400,RENT,0.0,EDUCATION,C,1250,10.99,0.09,N,8,1,0,0.3507040942616432,Medium Risk
25,89796,MORTGAGE,2.0,VENTURE,B,9000,11.11,0.1,N,4,0,0,0.025593688712919182,Low Risk
28,60000,OWN,1.0,HOMEIMPROVEMENT,D,22000,14.09,0.37,Y,8,0,0,0.04015618116523248,Low Risk
33,24000,MORTGAGE,2.0,DEBTCONSOLIDATION,B,6000,10.25,0.25,N,6,0,0,0.136238745407617,Low Risk
25,19200,RENT,5.0,HOMEIMPROVEMENT,B,4000,10.99,0.21,N,3,1,1,0.9770012483266798,High Risk
31,47000,MORTGAGE,5.0,HOMEIMPROVEMENT,B,5000,10.38,0.11,N,6,0,0,0.11843416919892666,Low Risk
24,54996,RENT,0.0,DEBTCONSOLIDATION,C,12500,12.87,0.23,N,2,0,0,0.11218476084144047,Low Risk
26,5500,RENT,0.0,EDUCATION,A,1000,9.63,0.18,N,3,1,1,0.94971492329057,High Risk
23,37000,RENT,4.0,PERSONAL,C,10000,13.23,0.27,N,3,0,0,0.1239246888582102,Low Risk
22,90000,RENT,6.0,MEDICAL,B,10200,11.71,0.11,N,3,0,0,0.05528136351386643,Low Risk
27,84000,RENT,0.0,MEDICAL,B,16000,12.21,0.19,N,10,0,0,0.0719194654121255,Low Risk
22,54800,OWN,7.0,EDUCATION,A,8000,10.99,0.15,N,2,0,0,0.01213873388070811,Low Risk
36,84000,RENT,6.0,EDUCATION,C,25000,12.87,0.3,Y,11,0,0,0.09987865889794877,Low Risk
24,42000,MORTGAGE,9.0,PERSONAL,A,11000,5.42,0.26,N,4,0,0,0.05320648170732432,Low Risk
28,60000,MORTGAGE,6.0,DEBTCONSOLIDATION,B,15000,11.99,0.25,N,6,0,0,0.08367114715459403,Low Risk
24,72096,RENT,2.0,HOMEIMPROVEMENT,A,4800,7.14,0.07,N,2,0,0,0.05518201981943997,Low Risk
28,96000,OWN,13.0,EDUCATION,C,15000,13.47,0.16,N,6,0,0,0.01001255426794033,Low Risk
32,75000,MORTGAGE,5.0,VENTURE,C,16000,13.49,0.21,N,8,0,0,0.062621449948647,Low Risk
24,55000,MORTGAGE,5.0,PERSONAL,B,3100,11.71,0.06,N,2,0,0,0.0857391806711395,Low Risk
23,45000,MORTGAGE,1.0,MEDICAL,B,7200,11.86,0.16,N,2,0,0,0.11115597931478942,Low Risk
24,80000,MORTGAGE,2.0,HOMEIMPROVEMENT,A,5000,6.99,0.06,N,4,0,0,0.030945597534706274,Low Risk
22,29361,RENT,4.0,HOMEIMPROVEMENT,B,6450,10.99,0.22,N,3,1,1,0.8024428230160504,High Risk
21,41000,RENT,5.0,VENTURE,A,7000,5.79,0.17,N,2,0,0,0.021195221128688692,Low Risk
23,47000,MORTGAGE,7.0,DEBTCONSOLIDATION,C,13850,12.68,0.29,Y,4,0,0,0.11707073325178831,Low Risk
21,46002,MORTGAGE,4.0,VENTURE,D,4000,10.99,0.09,Y,3,0,0,0.18290823202888176,Low Risk
21,33996,RENT,1.0,PERSONAL,C,6000,12.53,0.18,Y,3,0,0,0.2463115823623586,Low Risk
26,34320,RENT,2.0,EDUCATION,A,9000,6.62,0.26,N,2,1,0,0.156844710813063,Low Risk
21,83000,MORTGAGE,4.0,MEDICAL,A,8500,8.0,0.1,N,4,0,0,0.03471261577227345,Low Risk
31,80000,MORTGAGE,6.0,EDUCATION,B,7500,12.18,0.09,N,7,0,0,0.04139199691958032,Low Risk
34,16800,OWN,0.0,PERSONAL,C,1600,13.72,0.1,Y,5,0,0,0.2054205796132192,Low Risk
22,50000,MORTGAGE,0.0,EDUCATION,B,20000,11.48,0.4,N,2,0,0,0.14968729646602474,Low Risk
22,43000,RENT,4.0,DEBTCONSOLIDATION,B,18550,11.83,0.43,N,4,1,1,0.9755256840448487,High Risk
26,65000,MORTGAGE,6.0,MEDICAL,B,9250,10.99,0.14,N,2,0,0,0.08440462302702215,Low Risk
27,151000,MORTGAGE,11.0,DEBTCONSOLIDATION,D,20000,14.74,0.13,Y,9,1,1,0.7300113195701867,High Risk
26,300000,MORTGAGE,10.0,VENTURE,A,20000,7.88,0.07,N,4,0,0,0.011016108252356632,Low Risk
41,55000,RENT,4.0,HOMEIMPROVEMENT,B,4200,12.69,0.08,N,16,0,0,0.1380839905823379,Low Risk
21,43971,MORTGAGE,5.0,PERSONAL,A,4600,5.42,0.1,N,4,0,0,0.07096005959014322,Low Risk
23,49980,MORTGAGE,7.0,MEDICAL,B,4800,10.37,0.1,N,2,1,0,0.08828738134358136,Low Risk
24,54000,RENT,8.0,HOMEIMPROVEMENT,B,6800,10.59,0.13,N,3,0,0,0.11628153352907711,Low Risk
23,60000,RENT,1.0,DEBTCONSOLIDATION,A,3000,7.51,0.05,N,2,0,0,0.03924670790333158,Low Risk
32,55000,RENT,4.0,HOMEIMPROVEMENT,C,8000,10.99,0.15,N,8,0,0,0.1392154158799699,Low Risk
24,64000,MORTGAGE,8.0,VENTURE,B,4800,12.21,0.07,N,4,0,0,0.03622443362795891,Low Risk
30,33600,RENT,5.0,VENTURE,A,6000,6.91,0.18,N,7,0,0,0.04948266749753556,Low Risk
25,69000,MORTGAGE,9.0,VENTURE,A,25000,6.99,0.36,N,4,0,0,0.048263577385804515,Low Risk
26,54000,MORTGAGE,4.0,PERSONAL,A,9600,6.62,0.18,N,3,0,0,0.04413873328385993,Low Risk
23,33000,RENT,3.0,DEBTCONSOLIDATION,B,4000,10.96,0.12,N,4,0,0,0.1538336362644807,Low Risk
27,75000,RENT,1.0,HOMEIMPROVEMENT,B,20000,10.99,0.27,N,6,0,0,0.1237809165469819,Low Risk
33,60000,MORTGAGE,3.0,DEBTCONSOLIDATION,A,5000,5.42,0.08,N,7,0,0,0.03496112118351611,Low Risk
23,42000,RENT,2.0,PERSONAL,C,6000,12.41,0.14,N,4,1,0,0.0997040470132231,Low Risk
21,36662,OWN,4.0,VENTURE,B,18000,10.25,0.49,N,4,0,0,0.019402908146574586,Low Risk
29,54000,MORTGAGE,1.0,PERSONAL,G,25000,20.16,0.46,Y,8,1,1,0.8627231847373639,High Risk
22,50000,RENT,6.0,DEBTCONSOLIDATION,B,7200,10.99,0.14,N,4,0,0,0.10681505416198901,Low Risk
24,16020,OWN,3.0,VENTURE,E,3625,17.14,0.23,Y,2,1,1,0.7292663525100944,High Risk
28,115000,MORTGAGE,12.0,EDUCATION,A,22000,7.51,0.19,N,7,0,0,0.029091018238563738,Low Risk
29,15000,RENT,4.0,PERSONAL,C,2200,13.48,0.15,N,10,1,0,0.363842562442156,Medium Risk
28,30000,RENT,3.0,MEDICAL,B,5000,9.88,0.17,N,8,0,0,0.16280588909321606,Low Risk
23,60000,RENT,0.0,EDUCATION,C,9600,14.65,0.16,Y,2,0,0,0.11580114825686327,Low Risk
30,68000,RENT,7.0,PERSONAL,B,10000,10.75,0.15,N,7,0,0,0.058597633640054984,Low Risk
25,30000,RENT,3.0,EDUCATION,C,8500,13.98,0.28,Y,4,0,0,0.21195271481943392,Low Risk
26,24500,RENT,4.0,EDUCATION,B,8875,10.0,0.36,N,3,1,1,0.9613459670502937,High Risk
31,63324,MORTGAGE,8.0,DEBTCONSOLIDATION,B,24000,11.83,0.38,N,6,0,0,0.19811206537096224,Low Risk
23,33500,RENT,2.0,MEDICAL,E,2500,15.68,0.07,Y,4,1,1,0.9071353960034587,High Risk
34,31704,RENT,2.0,VENTURE,B,3000,11.49,0.09,N,8,0,0,0.104205985120616,Low Risk
29,69996,RENT,0.0,VENTURE,B,2400,11.11,0.03,N,6,0,0,0.05088793576805857,Low Risk
33,98000,RENT,2.0,HOMEIMPROVEMENT,A,20000,6.91,0.2,N,7,0,0,0.04071512489193333,Low Risk
22,99600,MORTGAGE,6.0,PERSONAL,A,7125,7.51,0.07,N,4,0,0,0.024962008181637425,Low Risk
28,51500,RENT,2.0,DEBTCONSOLIDATION,D,20000,15.65,0.39,Y,8,1,1,0.9951565644273538,High Risk
29,91560,MORTGAGE,8.0,DEBTCONSOLIDATION,A,22000,6.91,0.24,N,8,0,0,0.03948531348386852,Low Risk
26,55000,RENT,1.0,EDUCATION,C,3000,10.99,0.05,Y,2,0,0,0.10045052667983125,Low Risk
23,75000,RENT,0.0,VENTURE,B,10000,11.49,0.13,N,4,0,0,0.04946834604294792,Low Risk
31,80000,MORTGAGE,5.0,PERSONAL,A,6000,7.4,0.07,N,9,0,0,0.0243848711684697,Low Risk
26,34000,RENT,2.0,PERSONAL,D,12000,14.96,0.35,N,3,1,1,0.9893086340486512,High Risk
30,32004,RENT,2.0,PERSONAL,D,8700,15.58,0.27,N,10,1,1,0.8162877956127517,High Risk
25,33000,RENT,0.0,DEBTCONSOLIDATION,A,1000,7.29,0.03,N,4,0,0,0.1046972517458456,Low Risk
22,120000,MORTGAGE,6.0,VENTURE,A,12000,7.49,0.1,N,4,0,0,0.009427409434547887,Low Risk
25,37200,RENT,6.0,HOMEIMPROVEMENT,A,9600,5.99,0.26,N,4,1,0,0.15602105408865036,Low Risk
26,62000,RENT,7.0,PERSONAL,C,8000,12.99,0.13,N,4,0,0,0.08178650889026877,Low Risk
26,51996,MORTGAGE,2.0,MEDICAL,E,6500,15.68,0.13,N,4,1,1,0.8284685481310239,High Risk
29,72000,RENT,4.0,DEBTCONSOLIDATION,C,7800,10.99,0.11,Y,8,0,0,0.10626066696656258,Low Risk
57,70000,RENT,0.0,VENTURE,B,6600,10.99,0.09,N,21,0,0,0.05058378486266282,Low Risk
32,95000,MORTGAGE,3.0,PERSONAL,B,18000,11.11,0.19,N,8,0,0,0.04439288471336169,Low Risk
25,49000,RENT,8.0,EDUCATION,C,6000,10.99,0.12,Y,2,0,0,0.08966136444650696,Low Risk
22,27996,RENT,1.0,VENTURE,E,5000,17.51,0.18,N,4,1,1,0.7905485607769922,High Risk
23,54586,RENT,5.0,EDUCATION,B,19000,11.14,0.35,N,4,1,1,0.9681002009322491,High Risk
22,41000,RENT,3.0,DEBTCONSOLIDATION,C,15000,12.73,0.37,N,3,1,1,0.9767951108017894,High Risk
24,200000,RENT,8.0,VENTURE,B,12000,12.69,0.06,N,2,0,0,0.024144399879898144,Low Risk
25,82000,RENT,5.0,HOMEIMPROVEMENT,C,6000,10.99,0.07,N,3,0,0,0.06461602751838953,Low Risk
27,56000,RENT,1.0,DEBTCONSOLIDATION,C,2500,11.72,0.04,N,5,1,0,0.11126676797984954,Low Risk
28,42682,RENT,1.0,PERSONAL,A,8000,6.03,0.19,N,9,0,0,0.05172839159352975,Low Risk
23,75000,RENT,0.0,VENTURE,B,6000,11.48,0.08,N,2,0,0,0.04946834604294792,Low Risk
24,112500,MORTGAGE,3.0,DEBTCONSOLIDATION,C,8600,13.11,0.08,N,4,0,0,0.07627966183164325,Low Risk
25,54000,RENT,0.0,HOMEIMPROVEMENT,C,10000,15.23,0.19,N,4,1,0,0.2917737012449421,Low Risk
23,50000,RENT,4.0,VENTURE,B,18225,10.74,0.36,N,3,1,1,0.9437642108373595,High Risk
32,22704,RENT,4.0,DEBTCONSOLIDATION,B,6800,10.99,0.3,N,8,0,0,0.18339849786628215,Low Risk
23,91000,RENT,5.0,EDUCATION,B,10000,10.2,0.11,N,2,0,0,0.03625638953756006,Low Risk
25,67000,RENT,3.0,EDUCATION,A,7000,8.94,0.1,N,4,0,0,0.03907905174380944,Low Risk
24,67992,MORTGAGE,8.0,DEBTCONSOLIDATION,B,12000,10.75,0.18,N,2,0,0,0.07401243287293191,Low Risk
28,100000,MORTGAGE,4.0,VENTURE,D,25000,10.99,0.25,N,6,1,0,0.08225218689180298,Low Risk
24,38000,RENT,8.0,MEDICAL,B,4500,10.83,0.12,N,2,0,0,0.10852439083295465,Low Risk
29,163000,RENT,4.0,VENTURE,D,4000,16.29,0.02,N,6,1,0,0.18590142913403548,Low Risk
26,64992,MORTGAGE,1.0,DEBTCONSOLIDATION,A,4000,9.63,0.06,N,4,0,0,0.045276678765850245,Low Risk
27,85000,OWN,2.0,VENTURE,C,10000,13.23,0.12,N,7,0,0,0.011034500765959878,Low Risk
43,86004,MORTGAGE,2.0,HOMEIMPROVEMENT,B,10000,9.99,0.12,N,14,0,0,0.05575782338000086,Low Risk
33,60000,MORTGAGE,0.0,EDUCATION,A,4000,6.54,0.07,N,9,0,0,0.027611485866691907,Low Risk
29,145000,MORTGAGE,0.0,VENTURE,D,14000,16.77,0.1,Y,5,0,0,0.2934434577143491,Low Risk
46,30000,RENT,15.0,DEBTCONSOLIDATION,C,10000,13.49,0.33,N,12,1,1,0.973010553251196,High Risk
23,92000,MORTGAGE,7.0,PERSONAL,A,12000,6.62,0.13,N,3,0,0,0.024773380079777342,Low Risk
36,110000,MORTGAGE,7.0,VENTURE,A,16000,6.03,0.15,N,12,0,0,0.009243327799937449,Low Risk
23,30000,RENT,0.0,EDUCATION,C,6300,14.35,0.21,N,4,0,0,0.23469522307424617,Low Risk
23,62000,MORTGAGE,1.0,MEDICAL,A,10000,7.9,0.16,N,3,0,0,0.04535801964069118,Low Risk
22,24000,RENT,1.0,EDUCATION,C,2000,13.11,0.08,Y,4,0,0,0.14276728946584877,Low Risk
35,84175,RENT,4.0,EDUCATION,A,7000,7.29,0.08,N,8,0,0,0.029006197545700087,Low Risk
28,32000,RENT,5.0,MEDICAL,A,5000,6.99,0.16,N,7,0,0,0.11360700600470604,Low Risk
49,120000,MORTGAGE,12.0,MEDICAL,B,12000,10.99,0.1,N,12,0,0,0.05783236971124462,Low Risk
26,47000,OWN,8.0,VENTURE,A,12500,8.49,0.27,N,2,0,0,0.005796785923754996,Low Risk
27,50000,RENT,5.0,MEDICAL,C,8000,13.43,0.16,N,10,0,0,0.11845179101865451,Low Risk
23,80000,MORTGAGE,1.0,EDUCATION,C,12000,13.48,0.15,Y,4,0,0,0.04997550890335076,Low Risk
32,35000,RENT,0.0,MEDICAL,A,9000,8.59,0.26,N,6,0,0,0.07928212257235832,Low Risk
24,20400,RENT,3.0,DEBTCONSOLIDATION,C,7550,14.79,0.37,Y,3,1,1,0.9720403241373503,High Risk
23,55000,MORTGAGE,0.0,PERSONAL,A,2000,10.99,0.04,N,2,0,0,0.05937060606046533,Low Risk
29,250000,MORTGAGE,13.0,EDUCATION,C,20000,13.79,0.08,N,8,0,0,0.05429877186889471,Low Risk
24,20485,RENT,4.0,PERSONAL,A,5575,7.9,0.27,N,4,0,0,0.1269482656298304,Low Risk
31,54000,MORTGAGE,12.0,DEBTCONSOLIDATION,A,6000,7.14,0.11,N,5,0,0,0.04879487553826187,Low Risk
22,69000,MORTGAGE,6.0,PERSONAL,C,7800,12.41,0.11,N,4,0,0,0.07270290913812533,Low Risk
44,48000,MORTGAGE,12.0,HOMEIMPROVEMENT,B,17500,12.18,0.36,N,11,0,0,0.19548739137011562,Low Risk
34,80000,RENT,6.0,EDUCATION,C,14000,14.27,0.17,Y,7,0,0,0.06349227416749395,Low Risk
28,34000,RENT,4.0,PERSONAL,B,3000,10.65,0.09,N,10,1,0,0.17556331030003106,Low Risk
24,61200,MORTGAGE,5.0,EDUCATION,B,5100,10.51,0.08,N,2,0,0,0.05831462552011207,Low Risk
40,63000,RENT,2.0,HOMEIMPROVEMENT,B,13050,11.48,0.21,N,15,0,0,0.10252400162289892,Low Risk
23,30000,RENT,0.0,PERSONAL,B,5000,11.86,0.17,N,2,0,0,0.17385793182887008,Low Risk
22,30000,RENT,6.0,EDUCATION,B,7000,9.62,0.23,N,4,1,0,0.1419253199967435,Low Risk
27,51000,MORTGAGE,0.0,EDUCATION,A,7000,7.49,0.14,N,6,0,0,0.042996984199401636,Low Risk
39,42000,OWN,5.0,PERSONAL,B,8000,10.38,0.19,N,17,0,0,0.014154066177665599,Low Risk
33,58000,RENT,5.0,MEDICAL,A,6400,7.51,0.11,N,8,0,0,0.05249673355966756,Low Risk
30,138000,MORTGAGE,13.0,HOMEIMPROVEMENT,B,10000,10.99,0.07,N,10,1,0,0.04938289282604607,Low Risk
36,48686,RENT,21.0,MEDICAL,D,12000,13.99,0.25,N,13,0,1,0.6276171223530234,High Risk
27,55000,MORTGAGE,2.0,MEDICAL,B,9600,9.62,0.17,N,9,0,0,0.09290790090012344,Low Risk
22,47000,RENT,0.0,VENTURE,B,6550,10.65,0.14,N,2,0,0,0.044610542139349986,Low Risk
22,91000,RENT,2.0,PERSONAL,B,8000,11.86,0.09,N,3,0,0,0.04670859964269395,Low Risk
27,117000,RENT,2.0,EDUCATION,A,10000,8.0,0.09,N,10,0,0,0.0282259783584411,Low Risk
26,42000,RENT,8.0,MEDICAL,C,6000,12.73,0.14,N,4,0,0,0.1121462671302547,Low Risk
23,90000,RENT,0.0,PERSONAL,A,2000,7.88,0.02,N,3,0,0,0.028514871469434693,Low Risk
24,40000,RENT,8.0,MEDICAL,B,2800,10.25,0.07,N,2,0,0,0.0813645960071629,Low Risk
33,35000,MORTGAGE,2.0,EDUCATION,A,6000,5.42,0.17,N,10,0,0,0.047443916823221875,Low Risk
40,70000,MORTGAGE,6.0,EDUCATION,A,18000,7.9,0.26,N,14,0,0,0.04443728503387869,Low Risk
22,60500,RENT,3.0,DEBTCONSOLIDATION,C,7000,12.84,0.12,N,2,0,0,0.10959295433904895,Low Risk
23,75000,RENT,2.0,PERSONAL,C,12000,12.98,0.16,Y,2,0,0,0.08477884926598998,Low Risk
25,42000,RENT,2.0,MEDICAL,C,6500,13.49,0.15,Y,3,0,0,0.13161538673364295,Low Risk
28,50000,RENT,2.0,VENTURE,A,14000,6.54,0.28,N,6,0,0,0.03508988520475219,Low Risk
32,66000,RENT,1.0,HOMEIMPROVEMENT,A,8000,7.29,0.12,N,10,0,0,0.05110322248117579,Low Risk
21,30000,RENT,0.0,EDUCATION,A,4200,6.92,0.14,N,4,0,0,0.09278495890725866,Low Risk
42,52400,MORTGAGE,14.0,HOMEIMPROVEMENT,B,21000,10.38,0.4,N,13,0,0,0.18708674783696927,Low Risk
26,73440,OWN,1.0,PERSONAL,B,35000,9.91,0.48,N,2,0,0,0.030887632504409304,Low Risk
22,18000,OWN,1.0,EDUCATION,D,5400,15.31,0.3,Y,4,1,1,0.8130178844362731,High Risk
23,90000,RENT,5.0,MEDICAL,A,8000,6.92,0.09,N,3,0,0,0.02968813403990195,Low Risk
22,30000,RENT,4.0,EDUCATION,C,10000,14.35,0.33,N,3,1,1,0.9707194442325254,High Risk
23,68000,MORTGAGE,2.0,VENTURE,B,10000,10.37,0.15,N,2,0,0,0.029430014326718233,Low Risk
41,56004,RENT,4.0,EDUCATION,B,12800,11.48,0.23,N,15,0,0,0.08396666730210813,Low Risk
34,26400,MORTGAGE,0.0,DEBTCONSOLIDATION,B,3600,9.88,0.14,N,5,0,0,0.128427129988923,Low Risk
29,150000,MORTGAGE,4.0,MEDICAL,A,7200,7.29,0.05,N,7,0,0,0.029478619302620586,Low Risk
28,42000,RENT,5.0,PERSONAL,B,4800,12.42,0.11,N,9,0,0,0.0889603467785677,Low Risk
27,20000,RENT,2.0,MEDICAL,B,4000,10.65,0.2,N,8,0,0,0.14724435519722975,Low Risk
22,42500,RENT,0.0,EDUCATION,A,7500,7.9,0.18,N,2,0,0,0.052281929901255714,Low Risk
22,66250,MORTGAGE,5.0,MEDICAL,A,8700,6.92,0.13,N,3,0,0,0.03969569940195205,Low Risk
29,75000,OWN,3.0,HOMEIMPROVEMENT,A,12000,7.51,0.16,N,8,0,0,0.014354138880648114,Low Risk
28,56864,MORTGAGE,5.0,MEDICAL,A,12300,7.88,0.22,N,8,0,0,0.05073197080354485,Low Risk
22,43000,MORTGAGE,4.0,PERSONAL,C,6600,14.27,0.15,Y,2,0,0,0.12810078048422271,Low Risk
26,90000,MORTGAGE,3.0,EDUCATION,C,3200,13.22,0.04,N,4,0,0,0.04297156268020116,Low Risk
31,54000,MORTGAGE,4.0,VENTURE,A,6000,7.66,0.11,N,6,0,0,0.017136526849284704,Low Risk
23,105000,MORTGAGE,7.0,DEBTCONSOLIDATION,B,12000,10.25,0.11,N,3,0,0,0.05558451179365601,Low Risk
36,60000,MORTGAGE,3.0,DEBTCONSOLIDATION,D,13000,14.11,0.22,Y,14,1,1,0.6945660780436427,High Risk
